Type,Timestamp,Bytes,Packets,new_Type
IoT,15703,222817,472,Video
IoT,15711,105950,223,IoT
IoT,15713,209300,436,IoT
IoT,15715,219388,456,IoT
IoT,15723,222078,471,IoT
IoT,15725,222217,463,IoT
IoT,15739,210173,437,IoT
IoT,15749,222542,473,Video
IoT,15751,221418,461,IoT
IoT,15755,219210,466,Video
IoT,15767,215033,447,IoT
IoT,15769,221457,463,IoT
IoT,15773,221388,461,IoT
IoT,15791,208323,434,IoT
IoT,15795,219600,459,IoT
IoT,15797,220358,458,IoT
IoT,15801,221418,461,IoT
IoT,15803,220217,458,IoT
IoT,15807,219032,458,IoT
IoT,15809,221107,469,IoT
IoT,15811,213089,443,IoT
IoT,15823,220358,458,IoT
IoT,15825,221928,469,IoT
IoT,15827,220001,460,IoT
IoT,15831,221724,466,IoT
IoT,15839,215114,448,IoT
IoT,15847,220972,462,IoT
IoT,15855,219454,457,IoT
IoT,15859,218964,462,IoT
IoT,15869,215602,449,IoT
IoT,15873,218846,454,IoT
IoT,15885,219874,457,IoT
IoT,15887,220396,466,IoT
IoT,15899,215862,453,IoT
IoT,15911,216258,453,IoT
IoT,15912,242895528,509287,IoT
IoT,15928,209292,435,IoT
IoT,15932,217969,452,IoT
IoT,15934,79742,238,IoT
IoT,15935,245378979,514572,IoT
IoT,15941,221544,462,IoT
IoT,15950,240,4,Video
IoT,15958,362000,865,IoT
IoT,15962,760888,1586,IoT
IoT,15966,375802,784,IoT
IoT,16002,396426,824,IoT
IoT,16008,805456,1683,IoT
IoT,16022,793325,1655,IoT
IoT,16034,398270,826,IoT
IoT,16036,797454,1666,IoT
IoT,16050,794279,1650,IoT
IoT,16056,793116,1651,IoT
IoT,16058,405089,841,IoT
IoT,16068,218754,460,IoT
IoT,16070,217323,453,IoT
IoT,16078,109796,231,IoT
IoT,16080,221160,471,IoT
IoT,16098,220416,460,IoT
IoT,16110,217606,455,IoT
IoT,16114,217462,453,IoT
IoT,16116,176522,426,IoT
IoT,16118,207008,472,IoT
IoT,16120,221120,465,IoT
IoT,16124,220482,461,IoT
IoT,16132,221365,464,IoT
IoT,16138,321518,673,IoT
IoT,16144,217518,454,IoT
IoT,16146,220620,463,IoT
IoT,16150,220506,461,IoT
IoT,16152,221641,468,IoT
IoT,16154,220416,460,IoT
IoT,16156,220356,459,IoT
IoT,16158,202466,428,IoT
IoT,16164,328255,692,IoT
IoT,16166,108275,226,IoT
IoT,16186,217288,463,IoT
IoT,16194,215588,450,Video
IoT,16200,221120,465,IoT
IoT,16214,211244,441,IoT
IoT,16216,220542,462,IoT
IoT,16238,217590,455,IoT
IoT,16262,110822,234,IoT
IoT,16264,221094,470,IoT
IoT,16266,215527,449,IoT
IoT,16278,106344,222,IoT
IoT,16298,210007,441,IoT
IoT,16304,217456,453,IoT
IoT,16306,213306,448,IoT
IoT,16320,218554,459,IoT
IoT,16324,219450,458,IoT
IoT,16332,218482,456,IoT
IoT,16336,219012,464,IoT
IoT,16342,222048,471,IoT
IoT,16344,214478,445,IoT
IoT,16346,212251,444,IoT
IoT,16354,221796,467,IoT
IoT,16358,221418,461,IoT
IoT,16360,211623,442,IoT
IoT,16364,221268,459,IoT
IoT,16366,215683,458,IoT
IoT,16378,221478,462,IoT
IoT,16382,221460,462,IoT
IoT,16404,221328,460,IoT
IoT,16406,110664,230,IoT
IoT,16418,219817,456,IoT
IoT,16444,221417,461,IoT
IoT,16454,105950,223,IoT
IoT,16460,207663,437,IoT
IoT,16490,221268,459,IoT
IoT,16504,218904,461,IoT
IoT,16516,221388,461,IoT
IoT,16528,218904,455,IoT
IoT,16530,208664,433,IoT
IoT,16532,221280,473,IoT
IoT,16534,208323,434,IoT
IoT,16554,213089,443,IoT
IoT,16566,220358,458,IoT
IoT,16578,218358,453,IoT
IoT,16592,217938,459,IoT
IoT,16600,221388,461,IoT
IoT,16602,218964,462,IoT
IoT,16612,215602,449,IoT
IoT,16622,221478,462,IoT
IoT,16638,216534,451,IoT
IoT,16642,215862,453,IoT
IoT,16654,216258,453,IoT
IoT,16657,221424,460,IoT
IoT,16667,217883,453,IoT
IoT,16675,217969,452,IoT
IoT,16678,245378979,514572,IoT
IoT,16680,221424,460,IoT
IoT,16682,110862,232,IoT
IoT,16684,221544,462,IoT
IoT,16697,76269,169,IoT
IoT,16699,453228,965,IoT
IoT,16747,882298,1834,IoT
IoT,16759,395011,821,IoT
IoT,16773,791590,1653,IoT
IoT,16779,797454,1666,IoT
IoT,16781,794668,1656,IoT
IoT,16787,783350,1635,IoT
IoT,16789,789952,1647,IoT
IoT,16797,801205,1667,IoT
IoT,16805,797574,1655,IoT
IoT,16809,214562,447,IoT
IoT,16817,220488,461,IoT
IoT,16833,216642,453,IoT
IoT,16835,215455,450,IoT
IoT,16841,220416,460,IoT
IoT,16843,215940,456,IoT
IoT,16849,219456,458,IoT
IoT,16855,220339,461,IoT
IoT,16857,217462,453,IoT
IoT,16859,176522,426,IoT
IoT,16861,207008,472,IoT
IoT,16867,220482,461,IoT
IoT,16871,220680,464,IoT
IoT,16879,201046,419,IoT
IoT,16891,220416,460,IoT
IoT,16905,218484,456,IoT
IoT,16911,218343,460,IoT
IoT,16913,214357,450,IoT
IoT,16921,220416,460,IoT
IoT,16947,220752,465,IoT
IoT,16955,210203,440,IoT
IoT,16961,217522,454,IoT
IoT,16963,214562,454,IoT
IoT,16997,218287,455,IoT
IoT,16999,110538,235,IoT
IoT,17001,220422,460,IoT
IoT,17003,220416,460,IoT
IoT,17033,110676,237,IoT
IoT,17037,220356,459,IoT
IoT,17041,210007,441,IoT
IoT,17045,220548,462,IoT
IoT,17053,219389,457,IoT
IoT,17057,220488,461,IoT
IoT,17075,218482,456,IoT
IoT,17077,205872,429,Video
IoT,17079,219012,464,IoT
IoT,17085,222048,471,IoT
IoT,17093,221862,464,IoT
IoT,17095,221328,460,IoT
IoT,17103,211623,442,IoT
IoT,17105,213568,444,IoT
IoT,17109,215683,458,IoT
IoT,17113,219873,457,IoT
IoT,17123,222157,462,IoT
IoT,17133,214542,446,IoT
IoT,17137,218071,455,IoT
IoT,17141,110604,229,IoT
IoT,17151,221592,464,IoT
IoT,17155,221328,460,IoT
IoT,17161,219817,456,IoT
IoT,17181,221328,460,IoT
IoT,17197,105950,223,IoT
IoT,17199,209300,436,IoT
IoT,17211,222217,463,IoT
IoT,17213,111120,237,IoT
IoT,17215,221268,459,IoT
IoT,17217,219032,458,IoT
IoT,17221,216478,450,Video
IoT,17231,221328,460,IoT
IoT,17237,221418,461,IoT
IoT,17239,221327,460,IoT
IoT,17249,211010,439,IoT
IoT,17253,215033,447,IoT
IoT,17257,221742,466,IoT
IoT,17265,218418,454,IoT
IoT,17273,208664,433,IoT
IoT,17277,208323,434,IoT
IoT,17279,219894,470,IoT
IoT,17283,220358,458,IoT
IoT,17285,221856,468,IoT
IoT,17287,221418,461,IoT
IoT,17289,220217,458,IoT
IoT,17291,221460,462,IoT
IoT,17297,213089,443,IoT
IoT,17299,216055,450,IoT
IoT,17303,210658,438,IoT
IoT,17307,220159,457,IoT
IoT,17309,220358,458,IoT
IoT,17315,221418,461,IoT
IoT,17317,221724,466,IoT
IoT,17321,218358,453,IoT
IoT,17335,217938,459,IoT
IoT,17337,221328,460,IoT
IoT,17341,219454,457,IoT
IoT,17343,221388,461,IoT
IoT,17347,218277,454,IoT
IoT,17357,219986,465,IoT
IoT,17361,217933,453,IoT
IoT,17365,221478,462,IoT
IoT,17367,220217,458,IoT
IoT,17371,219874,457,IoT
IoT,17377,219388,456,IoT
IoT,17381,216534,451,IoT
IoT,17391,221592,464,IoT
IoT,17395,219478,457,IoT
IoT,17397,216258,453,IoT
IoT,17400,221424,460,IoT
IoT,17414,209292,435,IoT
IoT,17418,217969,452,IoT
IoT,17420,79742,238,IoT
IoT,17429,220317,458,IoT
IoT,17432,280739828,593354,IoT
IoT,17436,240,4,Video
IoT,17440,76269,169,IoT
IoT,17444,362000,865,IoT
IoT,17446,403462,842,IoT
IoT,17464,396908,825,IoT
IoT,17488,396426,824,IoT
IoT,17504,787795,1647,IoT
IoT,17506,396968,826,IoT
IoT,17510,796849,1657,IoT
IoT,17516,791590,1653,IoT
IoT,17518,791783,1655,IoT
IoT,17530,783350,1635,IoT
IoT,17536,794279,1650,IoT
IoT,17540,801205,1667,IoT
IoT,17542,793116,1651,IoT
IoT,17552,214562,447,IoT
IoT,17556,217323,453,IoT
IoT,17570,219450,458,IoT
IoT,17572,106288,221,IoT
IoT,17574,220680,464,IoT
IoT,17578,215455,450,IoT
IoT,17588,215101,449,IoT
IoT,17590,220746,465,Video
IoT,17594,220416,460,IoT
IoT,17596,217606,455,IoT
IoT,17600,217462,453,IoT
IoT,17608,222066,485,Video
IoT,17612,220356,459,IoT
IoT,17614,220680,464,IoT
IoT,17626,108342,233,IoT
IoT,17630,217518,454,IoT
IoT,17636,220506,461,IoT
IoT,17638,221641,468,IoT
IoT,17640,220416,460,IoT
IoT,17652,108275,226,IoT
IoT,17662,220356,459,IoT
IoT,17678,214134,449,IoT
IoT,17682,220356,459,IoT
IoT,17710,220356,459,IoT
IoT,17712,220680,464,IoT
IoT,17718,110268,231,IoT
IoT,17720,221641,468,IoT
IoT,17724,217590,455,IoT
IoT,17728,209459,439,IoT
IoT,17736,220812,466,IoT
IoT,17738,220566,462,IoT
IoT,17746,220416,460,IoT
IoT,17754,215107,449,IoT
IoT,17768,220422,460,IoT
IoT,17770,107436,226,IoT
IoT,17778,220416,460,IoT
IoT,17794,214466,458,IoT
IoT,17810,219450,458,IoT
IoT,17822,219012,464,IoT
IoT,17828,222048,471,IoT
IoT,17834,219741,461,IoT
IoT,17838,221328,460,IoT
IoT,17850,221268,459,IoT
IoT,17852,215683,458,IoT
IoT,17856,219873,457,IoT
IoT,17858,221724,466,IoT
IoT,17870,221328,460,IoT
IoT,17880,218071,455,IoT
IoT,17882,213569,444,IoT
IoT,17890,221328,460,IoT
IoT,17894,221592,464,IoT
IoT,17904,219817,456,IoT
IoT,17920,221724,466,IoT
IoT,17924,221328,460,IoT
IoT,17930,221417,461,IoT
IoT,17934,110664,230,IoT
IoT,17936,218418,454,IoT
IoT,17940,105950,223,IoT
IoT,17944,219388,456,IoT
IoT,17950,221328,460,IoT
IoT,17952,222078,471,IoT
IoT,17958,221268,459,IoT
IoT,17968,210173,437,IoT
IoT,17974,221328,460,IoT
IoT,17976,221268,459,IoT
IoT,17978,222542,473,Video
IoT,17988,221388,461,IoT
IoT,17990,218904,461,IoT
IoT,18004,221328,460,IoT
IoT,18006,221532,463,IoT
IoT,18018,221280,473,IoT
IoT,18038,221107,469,IoT
IoT,18042,216055,450,IoT
IoT,18046,210658,438,IoT
IoT,18048,220906,466,IoT
IoT,18056,220001,460,IoT
IoT,18058,221418,461,IoT
IoT,18062,218418,454,IoT
IoT,18064,218358,453,IoT
IoT,18084,219454,457,IoT
IoT,18086,221388,461,IoT
IoT,18090,218277,454,IoT
IoT,18106,221592,464,IoT
IoT,18114,219874,457,IoT
IoT,18116,220396,466,IoT
IoT,18120,219388,456,IoT
IoT,18124,216534,451,IoT
IoT,18126,220360,458,IoT
IoT,18130,219251,456,IoT
IoT,18134,221592,464,IoT
IoT,18138,219478,457,IoT
IoT,18140,216258,453,IoT
IoT,18145,221424,460,IoT
IoT,18155,106348,221,IoT
IoT,18157,209292,435,IoT
IoT,18161,217969,452,IoT
IoT,18166,221424,460,IoT
IoT,18172,220317,458,IoT
IoT,18174,209722,435,IoT
IoT,18181,120,2,Video
IoT,18195,375802,784,IoT
IoT,18213,404642,841,IoT
IoT,18227,793334,1649,IoT
IoT,18229,798658,1660,IoT
IoT,18231,396426,824,IoT
IoT,18237,805456,1683,IoT
IoT,18245,395011,821,IoT
IoT,18247,787795,1647,IoT
IoT,18251,793325,1655,IoT
IoT,18253,796849,1657,IoT
IoT,18257,396460,828,IoT
IoT,18263,398270,826,IoT
IoT,18269,784739,1631,IoT
IoT,18277,397834,831,IoT
IoT,18279,794279,1650,IoT
IoT,18281,792162,1643,IoT
IoT,18291,797574,1655,IoT
IoT,18295,214562,447,IoT
IoT,18297,218754,460,IoT
IoT,18309,221160,471,IoT
IoT,18319,216642,453,IoT
IoT,18325,218424,455,IoT
IoT,18327,220416,460,IoT
IoT,18329,215940,456,IoT
IoT,18333,220746,465,Video
IoT,18339,217606,455,IoT
IoT,18345,176522,426,IoT
IoT,18355,220356,459,IoT
IoT,18357,220680,464,IoT
IoT,18361,221365,464,IoT
IoT,18363,220680,464,IoT
IoT,18365,201046,419,IoT
IoT,18367,321518,673,IoT
IoT,18375,220620,463,IoT
IoT,18379,220506,461,IoT
IoT,18383,220416,460,IoT
IoT,18389,218222,459,IoT
IoT,18397,218343,460,IoT
IoT,18399,214357,450,IoT
IoT,18401,221245,462,IoT
IoT,18405,220356,459,IoT
IoT,18411,218486,456,IoT
IoT,18413,216070,451,IoT
IoT,18421,214134,449,IoT
IoT,18431,220416,460,IoT
IoT,18433,220752,465,IoT
IoT,18447,217522,454,IoT
IoT,18449,214562,454,IoT
IoT,18451,220548,462,IoT
IoT,18459,217608,455,IoT
IoT,18467,217590,455,IoT
IoT,18473,219171,460,IoT
IoT,18475,217522,454,IoT
IoT,18489,220416,460,IoT
IoT,18505,221158,467,IoT
IoT,18507,106344,222,IoT
IoT,18515,221120,465,IoT
IoT,18525,218927,469,IoT
IoT,18531,220548,462,IoT
IoT,18535,213306,448,IoT
IoT,18545,220416,460,IoT
IoT,18553,219450,458,IoT
IoT,18557,220566,462,IoT
IoT,18561,218482,456,IoT
IoT,18567,220626,463,IoT
IoT,18573,214478,445,IoT
IoT,18579,221862,464,IoT
IoT,18607,221478,462,IoT
IoT,18619,214542,446,IoT
IoT,18623,218071,455,IoT
IoT,18627,110604,229,IoT
IoT,18633,221328,460,IoT
IoT,18637,221592,464,IoT
IoT,18647,219817,456,IoT
IoT,18649,215013,453,IoT
IoT,18655,67171,174,IoT
IoT,18671,221328,460,IoT
IoT,18681,221658,465,IoT
IoT,18685,209300,436,IoT
IoT,18689,207663,437,IoT
IoT,18691,110119,228,IoT
IoT,18703,219032,458,IoT
IoT,18711,210173,437,IoT
IoT,18717,221328,460,IoT
IoT,18725,221327,460,IoT
IoT,18727,219210,466,Video
IoT,18733,218904,461,IoT
IoT,18737,208959,444,IoT
IoT,18745,221388,461,IoT
IoT,18755,222949,474,IoT
IoT,18759,208664,433,IoT
IoT,18773,221418,461,IoT
IoT,18775,220217,458,IoT
IoT,18789,210658,438,IoT
IoT,18793,220159,457,IoT
IoT,18807,218358,453,IoT
IoT,18809,215618,456,IoT
IoT,18811,215114,448,IoT
IoT,18821,217938,459,IoT
IoT,18825,221729,466,IoT
IoT,18829,221388,461,IoT
IoT,18835,219330,455,IoT
IoT,18837,218950,462,IoT
IoT,18839,212242,444,IoT
IoT,18841,215602,449,IoT
IoT,18845,218846,454,IoT
IoT,18847,217933,453,IoT
IoT,18853,220217,458,IoT
IoT,18857,219874,457,IoT
IoT,18865,212806,445,IoT
IoT,18873,219251,456,IoT
IoT,18890,108714,225,IoT
IoT,18892,215692,449,IoT
IoT,18894,216581,450,IoT
IoT,18898,106348,221,IoT
IoT,18904,217969,452,IoT
IoT,18906,79742,238,IoT
IoT,18909,221424,460,IoT
IoT,18924,120,2,Video
IoT,18928,453228,965,IoT
IoT,18962,394437,819,IoT
IoT,18970,793334,1649,IoT
IoT,18974,396426,824,IoT
IoT,18976,882298,1834,IoT
IoT,18992,396968,826,IoT
IoT,18994,793325,1655,IoT
IoT,19000,396460,828,IoT
IoT,19006,398270,826,IoT
IoT,19008,797454,1666,IoT
IoT,19016,783350,1635,IoT
IoT,19034,797574,1655,IoT
IoT,19036,164973,344,IoT
IoT,19052,221160,471,IoT
IoT,19058,106288,221,IoT
IoT,19064,215455,450,IoT
IoT,19072,215940,456,IoT
IoT,19076,220746,465,Video
IoT,19084,220339,461,IoT
IoT,19096,220482,461,IoT
IoT,19098,220356,459,IoT
IoT,19100,220680,464,IoT
IoT,19108,201046,419,IoT
IoT,19112,108342,233,IoT
IoT,19118,220620,463,IoT
IoT,19122,220506,461,IoT
IoT,19132,218222,459,IoT
IoT,19134,218484,456,IoT
IoT,19136,328255,692,IoT
IoT,19140,218343,460,IoT
IoT,19142,214357,450,IoT
IoT,19146,220944,468,IoT
IoT,19150,220416,460,IoT
IoT,19160,214620,448,IoT
IoT,19166,215588,450,Video
IoT,19168,220356,459,IoT
IoT,19170,220812,466,IoT
IoT,19174,220416,460,IoT
IoT,19176,220752,465,IoT
IoT,19178,217518,454,IoT
IoT,19180,219934,459,IoT
IoT,19184,210203,440,IoT
IoT,19192,214562,454,IoT
IoT,19198,220680,464,IoT
IoT,19200,220416,460,IoT
IoT,19202,217608,455,IoT
IoT,19206,221641,468,IoT
IoT,19210,217590,455,IoT
IoT,19216,219171,460,IoT
IoT,19222,220812,466,IoT
IoT,19224,220566,462,IoT
IoT,19226,218287,455,IoT
IoT,19230,220422,460,IoT
IoT,19234,110822,234,IoT
IoT,19238,215527,449,IoT
IoT,19242,108699,226,IoT
IoT,19246,208433,436,Video
IoT,19256,107436,226,IoT
IoT,19258,221120,465,IoT
IoT,19262,110676,237,IoT
IoT,19264,220416,460,IoT
IoT,19270,210007,441,IoT
IoT,19278,213306,448,IoT
IoT,19280,214466,458,IoT
IoT,19288,220416,460,IoT
IoT,19292,218554,459,IoT
IoT,19294,205931,430,IoT
IoT,19296,219450,458,IoT
IoT,19300,220566,462,IoT
IoT,19302,220620,463,IoT
IoT,19304,218482,456,IoT
IoT,19306,205872,429,Video
IoT,19308,219012,464,IoT
IoT,19310,220626,463,IoT
IoT,19322,221862,464,IoT
IoT,19332,211623,442,IoT
IoT,19354,221460,462,IoT
IoT,19360,209912,439,IoT
IoT,19362,214542,446,IoT
IoT,19364,104298,216,IoT
IoT,19366,218071,455,IoT
IoT,19368,213569,444,IoT
IoT,19386,221532,463,IoT
IoT,19388,217446,452,IoT
IoT,19396,211086,438,IoT
